TIMESTAMP,TIME,RAW,CURRENT
14:00:28 17/05/24,1715965228.355891,0.0321,2.857643716519498
14:00:39 17/05/24,1715965239.3936112,0.0322,2.867731441326225
14:00:50 17/05/24,1715965250.4299223,0.0319,2.8374682980600894
14:01:01 17/05/24,1715965261.468194,0.0319,2.8374682980600894
14:01:12 17/05/24,1715965272.5059607,0.0322,2.867731441326225
14:01:24 17/05/24,1715965284.149347,0.0317,2.817292921139409
14:01:35 17/05/24,1715965295.1864786,0.0316,2.807205248256091
14:01:46 17/05/24,1715965306.223253,0.0315,2.797117585757455
14:01:57 17/05/24,1715965317.2598193,0.0312,2.7668546605696376
14:02:08 17/05/24,1715965328.2966056,0.0315,2.797117585757455
14:02:19 17/05/24,1715965339.3332462,0.0316,2.807205248256091
14:02:30 17/05/24,1715965350.3698885,0.0308,2.726504239038093
14:02:41 17/05/24,1715965361.4067633,0.031,2.746679429034502
14:02:52 17/05/24,1715965372.4437506,0.031,2.746679429034502
14:03:03 17/05/24,1715965383.4822845,0.0307,2.716416659616912
14:03:14 17/05/24,1715965394.5199246,0.0308,2.726504239038093
14:03:25 17/05/24,1715965405.5567062,0.0305,2.6962415319285937
14:03:36 17/05/24,1715965416.5932279,0.0304,2.686153983661457
14:03:47 17/05/24,1715965427.6298993,0.0301,2.655891401168139
14:03:58 17/05/24,1715965438.6665788,0.0303,2.6760664457790027
14:04:10 17/05/24,1715965450.2644362,0.0303,2.6760664457790027
14:04:21 17/05/24,1715965461.3020742,0.03,2.64580389443973
14:04:32 17/05/24,1715965472.3393683,0.0295,2.5953665165679114
14:04:43 17/05/24,1715965483.3765967,0.03,2.64580389443973
14:04:54 17/05/24,1715965494.4136105,0.0294,2.585279072147593
14:05:05 17/05/24,1715965505.451227,0.0297,2.6155414365625935
14:05:16 17/05/24,1715965516.4888427,0.0296,2.6054539713729117
14:05:27 17/05/24,1715965527.5255723,0.0295,2.5953665165679114
14:05:38 17/05/24,1715965538.5629504,0.0293,2.575191638111957
14:05:49 17/05/24,1715965549.5999897,0.0293,2.575191638111957
14:06:00 17/05/24,1715965560.6367009,0.0293,2.575191638111957
14:06:11 17/05/24,1715965571.673244,0.0291,2.555016801194729
14:06:22 17/05/24,1715965582.7098377,0.0289,2.5348420058162286
14:06:33 17/05/24,1715965593.7474601,0.0289,2.5348420058162286
14:06:45 17/05/24,1715965605.478109,0.0286,2.504579890633591
14:06:56 17/05/24,1715965616.5156734,0.0285,2.494492539675409
14:07:07 17/05/24,1715965627.553184,0.0285,2.494492539675409
14:07:18 17/05/24,1715965638.5898743,0.0284,2.484405199101909
14:07:29 17/05/24,1715965649.6259003,0.0287,2.514667251976455
14:07:40 17/05/24,1715965660.6632042,0.0287,2.514667251976455
14:07:51 17/05/24,1715965671.699902,0.0282,2.4642305491089536
14:08:02 17/05/24,1715965682.7371767,0.0283,2.47431786891309
14:08:13 17/05/24,1715965693.7755036,0.0284,2.484405199101909
14:08:24 17/05/24,1715965704.8130856,0.0283,2.47431786891309
14:08:35 17/05/24,1715965715.8502314,0.028,2.444055940654725
14:08:46 17/05/24,1715965726.8865705,0.0279,2.4339686520046335
14:08:57 17/05/24,1715965737.9232512,0.0281,2.454143239689498
14:09:08 17/05/24,1715965748.9609618,0.0277,2.413794105858496
14:09:19 17/05/24,1715965759.996972,0.0279,2.4339686520046335
